Year,County,PSI,PSIDescription,Count,Population,ObsRate
2005,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,321,26447738,1.21
2006,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,341,26679904,1.28
2007,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,353,26935982,1.31
2008,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,346,27272108,1.27
2009,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,308,27630962,1.11
2010,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,292,28000783,1.04
2011,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,305,28396854,1.07
2012,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,290,27818703,1.04
2013,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,255,28195720,0.9
2014,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,235,28842368,0.81
2015,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,153,21475301,0.71
2005,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,18,1102068,1.63
2006,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,12,1106823,1.08
2007,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,8,1117973,0.72
2008,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,19,1136417,1.67
2009,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,6,1155287,0.52
2010,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,11,1169910,0.94
2011,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,17,1186810,1.43
2012,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,12,1173980,1.02
2013,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,10,1197759,0.83
2014,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,11,1192027,0.92
2015,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,2,923607,0.22
2005,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,979,0
2006,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,1001,0
2007,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,1009,0
2008,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,957,0
2009,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,947,0
2010,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,895,0
2011,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,888,0
2012,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,2975,0
2013,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,2967,0
2014,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,2018,0
2015,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0,3000,0
2005,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0,31101,0
2006,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0,31460,0
2007,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0,31883,0
2008,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1,31619,3.16
2009,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1,31769,3.15
2010,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1,31720,3.15
2011,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1,31760,3.15
2012,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1,32614,3.07
2013,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0,32252,0
2014,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1,33224,3.01
2015,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0,24635,0
2005,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4,165310,2.42
2006,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4,167351,2.39
2007,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4,168208,2.38
2008,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,1,169793,0.59
2009,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4,170726,2.34
2010,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,0,171576,0
2011,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,2,172643,1.16
2012,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,3,169573,1.77
2013,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,3,170817,1.76
2014,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,2,175975,1.14
2015,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,3,128928,2.33
2005,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0,35913,0
2006,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0,36599,0
2007,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0,36944,0
2008,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,2,37092,5.39
2009,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1,36875,2.71
2010,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0,36801,0
2011,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1,36652,2.73
2012,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0,37597,0
2013,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1,37646,2.66
2014,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1,38886,2.57
2015,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0,28698,0
2005,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14456,0
2006,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,1,14677,6.81
2007,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14837,0
2008,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14891,0
2009,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14960,0
2010,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,15117,0
2011,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,15206,0
2012,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,16676,0
2013,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,16775,0
2014,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,16640,0
2015,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0,13258,0
2005,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,9,744835,1.21
2006,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,15,747747,2.01
2007,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,14,755752,1.85
2008,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,14,767612,1.82
2009,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,4,780970,0.51
2010,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,9,793960,1.13
2011,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,12,808054,1.49
2012,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,8,793369,1.01
2013,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,6,808882,0.74
2014,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,8,818959,0.98
2015,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,1,620275,0.16
2005,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,22067,0
2006,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,1,22055,4.53
2007,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,22315,0
2008,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,22398,0
2009,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,22525,0
2010,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,22507,0
2011,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,22606,0
2012,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,23687,0
2013,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,23420,0
2014,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,23656,0
2015,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0,17650,0
2005,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,1,132739,0.75
2006,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,4,134458,2.97
2007,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,0,135852,0
2008,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2,137534,1.45
2009,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2,139337,1.44
2010,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,4,140597,2.85
2011,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,0,141461,0
2012,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,5,139213,3.59
2013,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2,140808,1.42
2014,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,0,146643,0
2015,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2,106572,1.88
2005,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,6,605300,0.99
2006,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,8,614966,1.3
2007,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,6,624332,0.96
2008,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,5,634600,0.79
2009,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,11,644386,1.71
2010,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,10,654204,1.53
2011,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,10,664750,1.5
2012,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,5,642666,0.78
2013,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,9,650435,1.38
2014,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,4,679486,0.59
2015,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,5,491442,1.02
2005,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,19553,0
2006,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,19729,0
2007,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,19842,0
2008,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,1,20067,4.98
2009,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,20155,0
2010,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,1,20313,4.92
2011,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,20400,0
2012,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,21643,0
2013,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,21703,0
2014,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,21574,0
2015,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0,16846,0
2005,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,5,102809,4.86
2006,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,2,103611,1.93
2007,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,4,103821,3.85
2008,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,2,104570,1.91
2009,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,4,105478,3.79
2010,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,3,106717,2.81
2011,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,4,107013,3.74
2012,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,0,105607,0
2013,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,1,105726,0.95
2014,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,1,108619,0.92
2015,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,1,79121,1.26
2005,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,1,109478,0.91
2006,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,2,112879,1.77
2007,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,2,115944,1.72
2008,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,1,118550,0.84
2009,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,1,121552,0.82
2010,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,0,124055,0
2011,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,3,125985,2.38
2012,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,0,122385,0
2013,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,0,122276,0
2014,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,3,130127,2.31
2015,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,2,92754,2.16
2005,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,14549,0
2006,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,14456,0
2007,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,1,14505,6.89
2008,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,14485,0
2009,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,14651,0
2010,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,14670,0
2011,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,14640,0
2012,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,16277,0
2013,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,16250,0
2014,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,15730,0
2015,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0,12814,0
2005,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6,526395,1.14
2006,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,12,544084,2.21
2007,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,14,557795,2.51
2008,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,11,568635,1.93
2009,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,9,578043,1.56
2010,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6,587730,1.02
2011,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,10,597565,1.67
2012,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6,576340,1.04
2013,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,5,583929,0.86
2014,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6,622019,0.96
2015,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6,441243,1.36
2005,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1,104744,0.95
2006,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,3,106917,2.81
2007,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1,108972,0.92
2008,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1,110111,0.91
2009,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,3,109913,2.73
2010,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,2,110532,1.81
2011,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,2,111322,1.8
2012,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,3,107485,2.79
2013,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1,107035,0.93
2014,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,4,114326,3.5
2015,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,0,78983,0
2005,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,4,49529,8.08
2006,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,4,49985,8
2007,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,0,50130,0
2008,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,2,50505,3.96
2009,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,4,50721,7.89
2010,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1,51151,1.95
2011,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1,51085,1.96
2012,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1,51501,1.94
2013,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,0,51581,0
2014,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,3,52953,5.67
2015,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1,39003,2.56
2005,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0,27722,0
2006,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0,27919,0
2007,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0,29030,0
2008,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,1,28658,3.49
2009,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0,28696,0
2010,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,2,28485,7.02
2011,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,1,28179,3.55
2012,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0,29146,0
2013,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,1,27797,3.6
2014,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0,29236,0
2015,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0,20747,0
2005,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,69,7202516,0.96
2006,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,70,7208716,0.97
2007,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,77,7223113,1.07
2008,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,71,7281072,0.98
2009,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,65,7353912,0.88
2010,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,73,7416634,0.98
2011,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,66,7504083,0.88
2012,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,68,7317992,0.93
2013,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,64,7410685,0.86
2014,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,56,7525122,0.74
2015,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,40,5622301,0.71
2005,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1,100047,1
2006,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1,102344,0.98
2007,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,0,104227,0
2008,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1,105909,0.94
2009,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,2,106674,1.87
2010,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,2,108385,1.85
2011,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1,109902,0.91
2012,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,2,106934,1.87
2013,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,0,107252,0
2014,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1,113845,0.88
2015,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1,81407,1.23
2005,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2,194828,1.03
2006,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,9,194956,4.62
2007,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,5,196294,2.55
2008,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,3,197929,1.52
2009,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2,199904,1
2010,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,1,201547,0.5
2011,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,5,203181,2.46
2012,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,1,200046,0.5
2013,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,1,202161,0.49
2014,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2,201613,0.99
2015,Marin,21,Retained Surgical Item or Unretrieved Device Fragment,2,152906,1.31
2005,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14466,0
2006,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,1,14728,6.79
2007,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14903,0
2008,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14996,0
2009,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,14925,0
2010,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,15017,0
2011,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,15033,0
2012,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,16563,0
2013,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,16491,0
2014,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,16334,0
2015,Mariposa,21,Retained Surgical Item or Unretrieved Device Fragment,0,12911,0
2005,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,2,67693,2.95
2006,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,3,67469,4.45
2007,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1,67582,1.48
2008,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,0,68025,0
2009,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,3,68421,4.38
2010,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,0,68517,0
2011,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1,68336,1.46
